"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"1","Employee 1",44955.5284273811,9660.75096977875,54616.2793971598,TRUE
"2","Employee 2",46386.9317551143,2899.91613477468,49286.847889889,TRUE
"3","Employee 3",44414.0476034954,9299.77131425403,53713.8189177494,TRUE
"4","Employee 4",49889.1399335116,-1684.09530073404,48205.0446327776,FALSE
"5","Employee 5",49432.3488255031,382.230541436002,49814.5793669391,TRUE
"6","Employee 6",46589.5368391648,8163.48837921396,54753.0252183788,TRUE
"7","Employee 7",41678.7783289328,-1634.32454457507,40044.4537843578,FALSE
"8","Employee 8",48172.6652942598,660.939086228609,48833.6043804884,TRUE
"9","Employee 9",47466.6415341198,7658.90381881036,55125.5453529302,TRUE
"10","Employee 10",41775.5964770913,-3608.31090947613,38167.2855676152,FALSE
"11","Employee 11",40466.2617389113,1119.62031456642,41585.8820534777,TRUE
"12","Employee 12",43498.7180237658,6267.42256805301,49766.1405918188,TRUE
"13","Employee 13",42238.4601831436,-239.571030251682,41998.8891528919,FALSE
"14","Employee 14",47953.0394985341,1185.44622557238,49138.4857241064,TRUE
"15","Employee 15",40554.566020146,3269.13113938645,43823.6971595325,TRUE
"16","Employee 16",47768.4256481007,3037.71171020344,50806.1373583041,TRUE
"17","Employee 17",46129.235366825,7589.02697241865,53718.2623392437,TRUE
"18","Employee 18",49160.79870658,-4019.57679423504,45141.2219123449,FALSE
"19","Employee 19",47905.0755384378,7597.83045039512,55502.9059888329,TRUE
"20","Employee 20",41456.3623722643,-1499.12186199799,39957.2405102663,FALSE
"21","Employee 21",43024.8370394111,-2915.19992635585,40109.6371130552,FALSE
"22","Employee 22",49106.1279084533,3812.03116034158,52918.1590687949,TRUE
"23","Employee 23",49019.0445655026,9211.60474652424,58230.6493120268,TRUE
"24","Employee 24",46846.4938271791,5831.07012556866,52677.5639527477,TRUE
"25","Employee 25",49307.4918398634,9492.75608872995,58800.2479285933,TRUE
"26","Employee 26",44038.9569825493,-2475.57850321755,41563.3784793317,FALSE
"27","Employee 27",41367.9343881086,4201.43654569983,45569.3709338084,TRUE
"28","Employee 28",47251.8926556222,4944.15032560937,52196.0429812316,TRUE
"29","Employee 29",42310.5649091303,6296.73417774029,48607.2990868706,TRUE
"30","Employee 30",44034.1616841033,4939.38779109158,48973.5494751949,TRUE
"31","Employee 31",43423.1320512481,-1933.35274350829,41489.7793077398,FALSE
"32","Employee 32",42782.2337578982,1476.28628648818,44258.5200443864,TRUE
"33","Employee 33",49669.3641413003,1411.27271112055,51080.6368524209,TRUE
"34","Employee 34",45555.8517784812,2087.9888208583,47643.8405993395,TRUE
"35","Employee 35",49567.4054999836,-10.2774263359606,49557.1280736476,FALSE
"36","Employee 36",40248.0836212635,-3807.37277329899,36440.7108479645,FALSE
"37","Employee 37",48052.9422825202,9295.10646034032,57348.0487428606,TRUE
"38","Employee 38",42039.435764309,3575.04837564193,45614.4841399509,TRUE
"39","Employee 39",44102.9020631686,9706.14781137556,53809.0498745441,TRUE
"40","Employee 40",41146.1250623688,6759.45262657478,47905.5776889436,TRUE
"41","Employee 41",43394.9897880666,5455.54590178654,48850.5356898531,TRUE
"42","Employee 42",48483.8931751437,7284.13484292105,55768.0280180648,TRUE
"43","Employee 43",41076.731600333,7189.34052274562,48266.0721230786,TRUE
"44","Employee 44",46012.1553391218,-4055.43288565241,41956.7224534694,FALSE
"45","Employee 45",48869.3944271654,-684.5729786437,48184.8214485217,FALSE
"46","Employee 46",40183.5344429128,5436.08923442662,45619.6236773394,TRUE
"47","Employee 47",45321.8070417643,2840.96347168088,48162.7705134451,TRUE
"48","Employee 48",48971.5673355386,1834.11679114215,50805.6841266807,TRUE
"49","Employee 49",40360.2561005391,1353.95925841294,41714.2153589521,TRUE
"50","Employee 50",48611.2869647332,8712.18668296933,57323.4736477025,TRUE
"51","Employee 51",40022.8047696874,8768.97315843962,48791.777928127,TRUE
"52","Employee 52",40509.1461515985,2168.66840375587,42677.8145553544,TRUE
"53","Employee 53",47337.08612388,-3583.97665200755,43753.1094718724,FALSE
"54","Employee 54",41990.5424630269,7993.0377646815,49983.5802277084,TRUE
"55","Employee 55",48958.0478449352,1403.72335445136,50361.7711993866,TRUE
"56","Employee 56",40287.8558007069,7262.20200420357,47550.0578049105,TRUE
"57","Employee 57",40666.9537979178,695.051259826869,41362.0050577447,TRUE
"58","Employee 58",43683.2758574747,4136.07439142652,47819.3502489012,TRUE
"59","Employee 59",40615.3607857414,-1372.22756282426,39243.1332229171,FALSE
"60","Employee 60",41217.3659051768,6683.9787364006,47901.3446415775,TRUE
"61","Employee 61",42467.1470397152,-4702.83341128379,37764.3136284314,FALSE
"62","Employee 62",42839.4046030007,-2407.7771208249,40431.6274821758,FALSE
"63","Employee 63",45784.2261041515,3047.7522383444,48831.9783424959,TRUE
"64","Employee 64",40448.8065140322,9129.54546394758,49578.3519779798,TRUE
"65","Employee 65",46101.2082756497,8452.9226727318,54554.1309483815,TRUE
"66","Employee 66",49225.4749173298,-4673.76448912546,44551.7104282044,FALSE
"67","Employee 67",47880.7312413119,-4148.55536189862,43732.1758794133,FALSE
